id_estudiante,nombre,apellido,edad,genero,carrera,semestre,email,telefono,calificaciones_anteriores,asistencia_porcentaje,participacion_clase,horas_estudio_semanal,nivel_socioeconomico,rendimiento_riesgo,nota_matematicas,nota_ciencias,nota_lenguaje,nota_historia,promedio_general,creditos_aprobados,creditos_totales,fecha_ingreso,estado_academico,motivo_riesgo
138,Cristóbal,Herrera,21,M,Arte,6,cristóbal.herrera@universidad.edu,555-0138,7.4,69,4,3,Alto,1,7.6,7.4,7.5,7.4,7.5,90,120,2023-01-18,En Riesgo,Baja asistencia
139,Julieta,Aguilar,25,F,Administración,5,julieta.aguilar@universidad.edu,555-0139,9.73,63,4,25,Alto,0,9.4,9.9,10.0,9.4,9.7,75,100,2023-07-17,Condicional,
140,Florencia,Aguilar,21,F,Arte,2,florencia.aguilar@universidad.edu,555-0140,6.48,54,2,25,Medio,1,6.8,6.3,6.1,6.0,6.3,30,40,2025-01-17,En Riesgo,Bajo rendimiento académico
141,Laura,García,18,F,Educación,1,laura.garcía@universidad.edu,555-0141,5.51,100,2,4,Alto,1,5.1,5.7,5.5,5.8,5.5,15,20,2025-07-16,En Riesgo,Baja asistencia
142,Mariana,Morales,26,F,Arte,8,mariana.morales@universidad.edu,555-0142,4.01,99,5,22,Bajo,0,4.0,4.5,4.1,4.0,4.2,120,160,2022-01-18,Activo,
143,Benjamín,Vargas,24,M,Educación,8,benjamín.vargas@universidad.edu,555-0143,9.27,79,3,21,Bajo,0,9.7,9.4,8.8,9.4,9.3,88,160,2022-01-18,Activo,
144,Ignacio,Martínez,24,M,Enfermería,1,ignacio.martínez@universidad.edu,555-0144,9.75,65,5,24,Bajo,0,9.6,10.0,9.6,9.6,9.7,10,20,2025-07-16,Activo,
145,Mateo,Moreno,23,M,Enfermería,1,mateo.moreno@universidad.edu,555-0145,7.21,92,3,9,Alto,0,7.5,7.2,7.7,6.7,7.3,15,20,2025-07-16,Activo,
146,Diego,Vega,23,M,Enfermería,3,diego.vega@universidad.edu,555-0146,5.7,74,5,21,Medio,0,6.1,5.3,5.3,5.7,5.6,37,60,2024-07-16,Condicional,
147,Isabella,Ortega,26,F,Medicina,4,isabella.ortega@universidad.edu,555-0147,7.4,51,2,9,Bajo,1,7.8,7.5,7.3,7.0,7.4,60,80,2024-01-18,En Riesgo,Problemas familiares
148,Amparo,Vargas,26,F,Arte,3,amparo.vargas@universidad.edu,555-0148,8.13,55,5,4,Alto,1,8.0,8.2,8.6,8.1,8.2,33,60,2024-07-16,En Riesgo,Baja participación
149,Antonella,Jiménez,21,F,Arte,1,antonella.jiménez@universidad.edu,555-0149,5.62,74,4,22,Alto,0,5.3,5.5,5.8,5.7,5.6,11,20,2025-07-16,Activo,
150,Fernando,Torres,18,M,Enfermería,4,fernando.torres@universidad.edu,555-0150,5.17,66,3,22,Medio,1,5.5,5.6,4.9,4.9,5.2,60,80,2024-01-18,En Riesgo,Baja participación
151,Roberto,Hernández,24,M,Administración,6,roberto.hernández@universidad.edu,555-0151,4.98,92,3,12,Bajo,0,5.2,5.0,5.3,5.5,5.2,90,120,2023-01-18,Activo,
152,Alejandro,Jiménez,24,M,Ingeniería,8,alejandro.jiménez@universidad.edu,555-0152,7.11,98,4,4,Alto,0,6.6,7.1,6.6,7.4,6.9,120,160,2022-01-18,Activo,
153,Amparo,Morales,21,F,Administración,1,amparo.morales@universidad.edu,555-0153,4.74,80,1,2,Medio,1,4.7,4.8,4.7,4.8,4.8,15,20,2025-07-16,En Riesgo,Bajo rendimiento académico
154,Camila,Flores,19,F,Psicología,5,camila.flores@universidad.edu,555-0154,9.2,54,4,24,Bajo,0,9.6,9.0,9.4,9.2,9.3,71,100,2023-07-17,Activo,
155,Emilio,Mendoza,18,M,Medicina,3,emilio.mendoza@universidad.edu,555-0155,8.1,56,4,3,Alto,1,8.1,8.3,7.9,7.9,8.0,30,60,2024-07-16,En Riesgo,Baja participación
156,Ana,Romero,18,F,Psicología,4,ana.romero@universidad.edu,555-0156,7.7,87,1,3,Bajo,0,7.9,8.2,7.6,8.0,7.9,41,80,2024-01-18,Activo,
157,Benjamín,Moreno,21,M,Ingeniería,3,benjamín.moreno@universidad.edu,555-0157,8.29,72,2,5,Alto,0,8.4,8.4,8.7,8.5,8.5,33,60,2024-07-16,Condicional,
158,Alejandro,García,19,M,Derecho,6,alejandro.garcía@universidad.edu,555-0158,9.53,91,3,18,Alto,0,9.6,9.2,9.8,9.7,9.6,90,120,2023-01-18,Activo,
159,Regina,Vega,23,F,Educación,3,regina.vega@universidad.edu,555-0159,7.97,92,3,4,Medio,0,8.2,8.4,8.2,8.3,8.3,45,60,2024-07-16,Activo,
160,Miguel,López,18,M,Educación,3,miguel.lópez@universidad.edu,555-0160,5.4,77,1,21,Alto,1,5.6,5.8,5.7,5.7,5.7,30,60,2024-07-16,En Riesgo,Baja asistencia
161,Isabella,Morales,18,F,Medicina,1,isabella.morales@universidad.edu,555-0161,5.47,98,4,16,Medio,0,5.3,5.3,5.0,5.2,5.2,15,20,2025-07-16,Activo,
162,Tomás,González,26,M,Economía,2,tomás.gonzález@universidad.edu,555-0162,7.71,71,4,8,Bajo,0,7.7,7.6,7.8,8.0,7.8,24,40,2025-01-17,Activo,
163,Javiera,Flores,24,F,Economía,5,javiera.flores@universidad.edu,555-0163,7.68,63,4,17,Medio,0,7.7,7.7,7.3,7.4,7.5,53,100,2023-07-17,Activo,
164,Sofía,Rodríguez,26,F,Enfermería,8,sofía.rodríguez@universidad.edu,555-0164,8.32,93,3,14,Medio,0,8.8,8.5,8.3,8.7,8.6,110,160,2022-01-18,Activo,
165,Natalia,García,19,F,Ingeniería,6,natalia.garcía@universidad.edu,555-0165,8.26,92,4,13,Medio,0,8.6,8.5,8.3,7.9,8.3,90,120,2023-01-18,Condicional,
166,Matías,González,22,M,Arquitectura,2,matías.gonzález@universidad.edu,555-0166,7.68,98,2,16,Medio,0,8.0,7.5,7.5,7.3,7.6,30,40,2025-01-17,Activo,
167,Constanza,Castro,19,F,Arte,3,constanza.castro@universidad.edu,555-0167,7.61,88,2,13,Medio,0,7.4,7.1,7.9,7.3,7.4,30,60,2024-07-16,Condicional,
168,Esperanza,Hernández,18,F,Educación,8,esperanza.hernández@universidad.edu,555-0168,7.33,64,4,8,Bajo,0,7.0,7.7,7.5,7.1,7.3,100,160,2022-01-18,Activo,
169,Isabella,Ramírez,25,F,Arquitectura,3,isabella.ramírez@universidad.edu,555-0169,7.17,97,2,24,Bajo,0,7.4,7.5,7.6,7.5,7.5,37,60,2024-07-16,Condicional,
170,Nicolás,González,19,M,Educación,7,nicolás.gonzález@universidad.edu,555-0170,9.42,95,5,20,Bajo,0,9.1,9.5,9.9,9.2,9.4,105,140,2022-07-17,Condicional,
171,Matías,González,24,M,Derecho,3,matías.gonzález@universidad.edu,555-0171,7.53,60,4,18,Medio,0,7.6,7.4,7.9,7.3,7.5,30,60,2024-07-16,Condicional,
172,Esteban,González,20,M,Arte,8,esteban.gonzález@universidad.edu,555-0172,4.82,98,2,20,Bajo,1,5.1,4.4,4.9,4.8,4.8,120,160,2022-01-18,En Riesgo,Problemas familiares
173,Isidora,Torres,20,F,Medicina,4,isidora.torres@universidad.edu,555-0173,7.86,98,5,23,Medio,0,8.3,7.7,8.1,8.0,8.0,48,80,2024-01-18,Activo,
174,Andrés,Castro,26,M,Enfermería,6,andrés.castro@universidad.edu,555-0174,4.73,92,1,12,Alto,1,4.4,5.1,4.7,4.3,4.6,90,120,2023-01-18,En Riesgo,Baja asistencia
175,Matías,Ramírez,25,M,Arte,8,matías.ramírez@universidad.edu,555-0175,8.93,78,5,3,Medio,0,8.7,8.9,9.1,8.8,8.9,120,160,2022-01-18,Activo,
176,Benjamín,García,25,M,Administración,7,benjamín.garcía@universidad.edu,555-0176,7.98,81,5,22,Medio,0,7.6,8.2,8.1,7.7,7.9,99,140,2022-07-17,Activo,
177,Daniela,González,20,F,Enfermería,1,daniela.gonzález@universidad.edu,555-0177,9.97,69,1,15,Alto,1,9.5,10.0,10.0,10.0,9.9,15,20,2025-07-16,En Riesgo,Baja asistencia
178,Santiago,Martínez,26,M,Enfermería,2,santiago.martínez@universidad.edu,555-0178,8.84,71,5,25,Bajo,0,9.0,8.5,9.3,8.5,8.8,24,40,2025-01-17,Activo,
179,Joaquín,Ramos,18,M,Arte,5,joaquín.ramos@universidad.edu,555-0179,4.62,62,1,21,Medio,1,5.1,5.0,4.6,4.6,4.8,72,100,2023-07-17,En Riesgo,Problemas familiares
180,Regina,Aguilar,23,F,Medicina,1,regina.aguilar@universidad.edu,555-0180,8.49,95,2,12,Bajo,0,8.6,8.2,8.3,8.1,8.3,15,20,2025-07-16,Condicional,
181,Isabella,Moreno,20,F,Economía,8,isabella.moreno@universidad.edu,555-0181,8.01,59,2,13,Bajo,1,8.2,8.0,7.8,8.4,8.1,120,160,2022-01-18,En Riesgo,Bajo rendimiento académico
182,Matías,Vargas,20,M,Administración,3,matías.vargas@universidad.edu,555-0182,4.92,93,5,8,Medio,0,5.0,4.9,4.4,4.7,4.8,45,60,2024-07-16,Condicional,
183,Isabella,Morales,26,F,Arte,4,isabella.morales@universidad.edu,555-0183,8.37,67,2,15,Bajo,1,8.0,7.9,8.8,8.2,8.2,60,80,2024-01-18,En Riesgo,
184,Mariana,Hernández,21,F,Ingeniería,1,mariana.hernández@universidad.edu,555-0184,6.27,56,5,19,Medio,0,6.0,5.9,6.6,6.1,6.2,15,20,2025-07-16,Activo,
185,Andrés,Romero,21,M,Psicología,3,andrés.romero@universidad.edu,555-0185,9.86,95,4,10,Alto,0,9.5,9.5,9.7,9.6,9.6,38,60,2024-07-16,Activo,
186,María,Delgado,18,F,Administración,6,maría.delgado@universidad.edu,555-0186,5.25,97,2,19,Alto,1,5.4,5.3,5.2,5.0,5.2,90,120,2023-01-18,En Riesgo,Pocas horas de estudio
187,Santiago,Delgado,26,M,Arte,1,santiago.delgado@universidad.edu,555-0187,6.79,82,4,10,Medio,0,6.9,7.0,6.4,6.7,6.8,15,20,2025-07-16,Activo,
188,Miguel,Guerrero,19,M,Medicina,7,miguel.guerrero@universidad.edu,555-0188,7.17,70,1,16,Alto,0,7.1,7.0,6.7,6.8,6.9,105,140,2022-07-17,Activo,
189,Mariana,Hernández,25,F,Medicina,2,mariana.hernández@universidad.edu,555-0189,6.67,80,1,23,Bajo,0,6.6,6.6,6.3,6.7,6.5,24,40,2025-01-17,Activo,
190,Daniela,Flores,19,F,Enfermería,2,daniela.flores@universidad.edu,555-0190,9.99,96,4,20,Bajo,0,9.6,10.0,9.8,10.0,9.9,27,40,2025-01-17,Condicional,
191,Gabriel,Silva,19,M,Ingeniería,3,gabriel.silva@universidad.edu,555-0191,4.02,59,2,1,Medio,1,4.2,4.4,4.0,4.0,4.2,45,60,2024-07-16,En Riesgo,Bajo rendimiento académico
192,Constanza,Hernández,26,F,Psicología,7,constanza.hernández@universidad.edu,555-0192,8.89,57,1,16,Bajo,1,8.6,8.8,8.9,8.5,8.7,81,140,2022-07-17,En Riesgo,Pocas horas de estudio
193,Patricia,Moreno,21,F,Psicología,6,patricia.moreno@universidad.edu,555-0193,6.81,57,3,7,Medio,1,6.5,7.0,7.2,6.6,6.8,69,120,2023-01-18,En Riesgo,Pocas horas de estudio
194,Sofía,Castillo,19,F,Psicología,2,sofía.castillo@universidad.edu,555-0194,9.58,89,4,15,Medio,0,9.7,9.4,9.4,9.2,9.4,30,40,2025-01-17,Condicional,
195,Gabriel,Aguilar,20,M,Administración,3,gabriel.aguilar@universidad.edu,555-0195,9.82,63,3,14,Alto,0,10.0,9.5,10.0,10.0,9.9,45,60,2024-07-16,Activo,
196,Valentina,García,18,F,Enfermería,5,valentina.garcía@universidad.edu,555-0196,7.04,77,5,15,Alto,0,6.6,7.4,6.7,7.1,6.9,75,100,2023-07-17,Activo,
197,Antonella,González,21,F,Administración,1,antonella.gonzález@universidad.edu,555-0197,6.98,91,3,10,Medio,0,6.8,7.0,6.8,6.5,6.8,14,20,2025-07-16,Activo,
198,Valentina,García,20,F,Derecho,6,valentina.garcía@universidad.edu,555-0198,4.03,81,3,19,Medio,0,4.0,4.0,4.0,4.2,4.0,90,120,2023-01-18,Activo,
199,Maximiliano,Delgado,26,M,Enfermería,8,maximiliano.delgado@universidad.edu,555-0199,4.16,86,4,24,Bajo,0,4.0,4.0,4.0,4.2,4.0,120,160,2022-01-18,Activo,
200,Vicente,Ramos,21,M,Ingeniería,1,vicente.ramos@universidad.edu,555-0200,8.8,69,3,24,Bajo,0,9.2,8.4,8.5,8.7,8.7,15,20,2025-07-16,Activo,
201,Renata,Vega,20,F,Psicología,4,renata.vega@universidad.edu,555-0201,9.71,91,1,24,Bajo,0,10.0,9.4,10.0,9.5,9.7,60,80,2024-01-18,Condicional,
202,Camila,Castro,22,F,Derecho,5,camila.castro@universidad.edu,555-0202,5.0,50,4,17,Medio,1,4.7,4.6,4.9,5.3,4.9,75,100,2023-07-17,En Riesgo,Pocas horas de estudio
203,Ignacio,Ramírez,20,M,Psicología,2,ignacio.ramírez@universidad.edu,555-0203,6.83,81,4,25,Bajo,0,6.3,6.4,6.7,6.6,6.5,22,40,2025-01-17,Condicional,
204,Ana,Martínez,21,F,Arte,7,ana.martínez@universidad.edu,555-0204,5.17,73,4,5,Alto,1,5.6,5.5,5.6,5.1,5.4,105,140,2022-07-17,En Riesgo,Pocas horas de estudio
205,Carmen,Silva,26,F,Psicología,7,carmen.silva@universidad.edu,555-0205,9.39,92,1,10,Medio,0,9.1,9.8,9.3,9.6,9.4,84,140,2022-07-17,Activo,
206,Ana,Vega,24,F,Arte,7,ana.vega@universidad.edu,555-0206,6.5,77,3,16,Bajo,0,6.5,6.2,6.6,6.4,6.4,105,140,2022-07-17,Condicional,
207,Constanza,Ramos,21,F,Economía,5,constanza.ramos@universidad.edu,555-0207,9.96,61,1,10,Medio,1,10.0,9.8,10.0,10.0,9.9,75,100,2023-07-17,En Riesgo,Baja asistencia
208,Maximiliano,Rojas,23,M,Administración,1,maximiliano.rojas@universidad.edu,555-0208,4.53,100,5,9,Medio,0,4.2,4.2,4.4,5.0,4.5,15,20,2025-07-16,Activo,
209,Valentina,Ramos,22,F,Derecho,3,valentina.ramos@universidad.edu,555-0209,7.59,54,3,7,Bajo,1,8.1,7.3,7.7,8.1,7.8,38,60,2024-07-16,En Riesgo,
210,Agustín,Martínez,23,M,Medicina,7,agustín.martínez@universidad.edu,555-0210,5.83,65,2,6,Bajo,1,5.7,5.9,6.3,6.0,6.0,105,140,2022-07-17,En Riesgo,
211,Regina,Flores,24,F,Economía,2,regina.flores@universidad.edu,555-0211,9.48,97,1,5,Medio,0,9.9,9.6,9.2,9.6,9.6,30,40,2025-01-17,Activo,
212,Miguel,López,23,M,Enfermería,3,miguel.lópez@universidad.edu,555-0212,8.83,96,4,15,Bajo,0,8.4,8.9,8.7,9.0,8.8,36,60,2024-07-16,Activo,
213,Andrés,Romero,20,M,Enfermería,1,andrés.romero@universidad.edu,555-0213,6.07,74,3,16,Bajo,0,6.5,6.3,6.3,6.4,6.4,15,20,2025-07-16,Activo,
214,Maximiliano,Ramos,23,M,Arquitectura,6,maximiliano.ramos@universidad.edu,555-0214,4.68,65,3,22,Bajo,1,5.1,5.1,5.2,4.3,4.9,62,120,2023-01-18,En Riesgo,Problemas económicos
215,Constanza,López,23,F,Administración,8,constanza.lópez@universidad.edu,555-0215,9.22,69,1,23,Medio,1,8.8,9.0,9.5,8.9,9.1,83,160,2022-01-18,En Riesgo,Baja asistencia
216,Matías,Guerrero,26,M,Economía,3,matías.guerrero@universidad.edu,555-0216,6.46,54,3,19,Bajo,0,6.1,6.1,7.0,6.1,6.3,43,60,2024-07-16,Activo,
217,Valentina,Aguilar,26,F,Administración,1,valentina.aguilar@universidad.edu,555-0217,6.34,62,2,23,Medio,1,6.7,6.1,6.2,6.8,6.5,15,20,2025-07-16,En Riesgo,Problemas familiares
218,Laura,López,19,F,Derecho,8,laura.lópez@universidad.edu,555-0218,5.92,77,2,7,Medio,1,5.8,6.0,5.8,5.6,5.8,120,160,2022-01-18,En Riesgo,Problemas familiares
219,Patricia,Castro,18,F,Educación,7,patricia.castro@universidad.edu,555-0219,8.57,90,5,2,Medio,0,8.8,8.1,8.6,8.7,8.6,105,140,2022-07-17,Activo,
220,Miguel,Morales,21,M,Administración,2,miguel.morales@universidad.edu,555-0220,8.23,73,1,13,Medio,0,8.1,7.9,7.8,8.3,8.0,26,40,2025-01-17,Activo,
221,Renata,Delgado,23,F,Medicina,1,renata.delgado@universidad.edu,555-0221,4.66,77,1,24,Alto,1,5.0,4.6,4.6,4.9,4.8,15,20,2025-07-16,En Riesgo,Bajo rendimiento académico
222,Constanza,Flores,21,F,Economía,2,constanza.flores@universidad.edu,555-0222,7.31,92,3,25,Medio,0,7.5,7.1,7.0,7.3,7.2,25,40,2025-01-17,Activo,
223,Sebastián,Castro,26,M,Derecho,6,sebastián.castro@universidad.edu,555-0223,7.99,54,1,23,Alto,1,8.3,7.8,8.2,7.5,8.0,90,120,2023-01-18,En Riesgo,Bajo rendimiento académico
224,Vicente,Castro,21,M,Derecho,1,vicente.castro@universidad.edu,555-0224,5.96,91,3,20,Alto,0,6.2,5.6,5.9,6.1,6.0,12,20,2025-07-16,Activo,
225,Javiera,Moreno,20,F,Economía,6,javiera.moreno@universidad.edu,555-0225,8.86,68,5,12,Bajo,0,9.2,8.9,9.2,9.1,9.1,71,120,2023-01-18,Activo,
226,Cristóbal,Vega,26,M,Psicología,5,cristóbal.vega@universidad.edu,555-0226,7.32,98,3,6,Alto,0,7.4,7.5,7.7,7.5,7.5,70,100,2023-07-17,Condicional,
227,Agustín,Sánchez,19,M,Arquitectura,5,agustín.sánchez@universidad.edu,555-0227,4.5,50,3,14,Medio,1,4.3,4.1,4.2,4.1,4.2,75,100,2023-07-17,En Riesgo,
228,Andrés,Ruiz,18,M,Economía,5,andrés.ruiz@universidad.edu,555-0228,9.59,53,4,2,Medio,1,9.9,9.1,9.4,9.4,9.4,73,100,2023-07-17,En Riesgo,Bajo rendimiento académico
229,Magdalena,Jiménez,26,F,Arte,6,magdalena.jiménez@universidad.edu,555-0229,5.74,97,3,13,Medio,0,5.3,6.2,5.6,5.8,5.7,90,120,2023-01-18,Condicional,
230,José,Ortega,18,M,Arquitectura,5,josé.ortega@universidad.edu,555-0230,8.59,68,4,25,Alto,0,8.6,8.6,8.4,8.5,8.5,75,100,2023-07-17,Activo,
231,Benjamín,Morales,22,M,Arquitectura,3,benjamín.morales@universidad.edu,555-0231,5.92,88,1,18,Medio,1,5.9,6.0,5.8,5.8,5.9,45,60,2024-07-16,En Riesgo,Baja participación
232,Mateo,Aguilar,19,M,Psicología,1,mateo.aguilar@universidad.edu,555-0232,5.2,68,2,11,Medio,1,5.6,5.7,5.7,5.0,5.5,10,20,2025-07-16,En Riesgo,Baja asistencia
233,Camila,Ramírez,21,F,Arte,2,camila.ramírez@universidad.edu,555-0233,4.91,71,5,18,Medio,0,4.9,4.7,5.3,4.8,4.9,28,40,2025-01-17,Activo,
234,Gabriel,Jiménez,20,M,Administración,4,gabriel.jiménez@universidad.edu,555-0234,7.34,72,4,3,Medio,0,7.1,7.4,7.2,7.8,7.4,54,80,2024-01-18,Activo,
235,Isabella,Ortega,26,F,Ingeniería,7,isabella.ortega@universidad.edu,555-0235,5.72,88,4,5,Alto,1,5.7,5.3,6.2,5.6,5.7,98,140,2022-07-17,En Riesgo,Problemas económicos
236,Maximiliano,García,26,M,Economía,7,maximiliano.garcía@universidad.edu,555-0236,5.39,78,5,9,Medio,0,5.4,5.2,5.4,5.0,5.2,105,140,2022-07-17,Activo,
237,Fernando,Vargas,20,M,Enfermería,7,fernando.vargas@universidad.edu,555-0237,5.71,63,4,9,Medio,1,5.4,5.7,5.4,5.3,5.5,91,140,2022-07-17,En Riesgo,Bajo rendimiento académico
238,Natalia,Pérez,18,F,Arquitectura,5,natalia.pérez@universidad.edu,555-0238,8.09,87,2,8,Alto,0,8.5,8.2,8.5,8.2,8.3,75,100,2023-07-17,Activo,
239,Gabriel,Flores,24,M,Ingeniería,2,gabriel.flores@universidad.edu,555-0239,4.13,73,5,19,Medio,0,4.0,4.3,4.5,4.0,4.2,30,40,2025-01-17,Condicional,
240,Alejandro,Castillo,22,M,Arte,1,alejandro.castillo@universidad.edu,555-0240,5.97,64,5,20,Bajo,1,6.5,5.7,5.6,5.9,5.9,15,20,2025-07-16,En Riesgo,Problemas económicos
241,Mateo,Pérez,23,M,Economía,4,mateo.pérez@universidad.edu,555-0241,6.51,74,4,19,Medio,0,6.9,6.5,6.3,6.1,6.4,60,80,2024-01-18,Condicional,
242,Esteban,Rojas,26,M,Ingeniería,7,esteban.rojas@universidad.edu,555-0242,9.63,66,3,14,Bajo,0,9.9,10.0,9.2,10.0,9.8,105,140,2022-07-17,Activo,
243,Mariana,Rodríguez,18,F,Administración,5,mariana.rodríguez@universidad.edu,555-0243,4.94,62,3,11,Medio,1,4.9,5.0,5.1,5.4,5.1,59,100,2023-07-17,En Riesgo,Bajo rendimiento académico
244,Constanza,Delgado,19,F,Medicina,6,constanza.delgado@universidad.edu,555-0244,6.32,98,3,16,Bajo,0,6.8,6.6,6.6,6.6,6.7,90,120,2023-01-18,Activo,
245,María,Hernández,23,F,Ingeniería,1,maría.hernández@universidad.edu,555-0245,8.58,83,4,5,Medio,0,8.3,9.0,8.8,9.0,8.8,15,20,2025-07-16,Activo,
246,Sofía,Vargas,26,F,Psicología,4,sofía.vargas@universidad.edu,555-0246,7.83,87,1,22,Bajo,0,8.3,7.8,8.3,8.3,8.2,60,80,2024-01-18,Condicional,
247,Valeria,Ortega,20,F,Ingeniería,7,valeria.ortega@universidad.edu,555-0247,7.42,68,2,12,Medio,1,7.4,7.2,7.6,7.6,7.5,105,140,2022-07-17,En Riesgo,Baja asistencia
248,Daniela,Silva,19,F,Derecho,7,daniela.silva@universidad.edu,555-0248,6.46,67,5,18,Alto,0,6.1,6.9,6.8,6.7,6.6,105,140,2022-07-17,Activo,
249,Rodrigo,Castillo,22,M,Derecho,3,rodrigo.castillo@universidad.edu,555-0249,9.89,83,3,14,Bajo,0,9.9,9.7,10.0,9.8,9.9,45,60,2024-07-16,Condicional,
250,Matías,Ortega,22,M,Enfermería,7,matías.ortega@universidad.edu,555-0250,4.53,59,1,21,Bajo,1,4.3,4.9,5.0,4.2,4.6,91,140,2022-07-17,En Riesgo,Pocas horas de estudio
251,Natalia,Herrera,25,F,Derecho,6,natalia.herrera@universidad.edu,555-0251,8.01,94,3,16,Alto,0,8.4,8.2,8.0,8.0,8.2,90,120,2023-01-18,Activo,
252,Andrés,López,22,M,Arquitectura,5,andrés.lópez@universidad.edu,555-0252,6.17,59,5,3,Bajo,1,6.3,6.3,6.3,5.8,6.2,75,100,2023-07-17,En Riesgo,Problemas económicos
253,Carmen,Hernández,22,F,Medicina,1,carmen.hernández@universidad.edu,555-0253,4.84,84,5,1,Bajo,1,5.1,4.4,5.3,4.8,4.9,10,20,2025-07-16,En Riesgo,Problemas familiares
254,Constanza,Aguilar,22,F,Educación,1,constanza.aguilar@universidad.edu,555-0254,7.15,55,3,6,Medio,1,7.5,7.1,7.6,7.4,7.4,15,20,2025-07-16,En Riesgo,Problemas familiares
255,Natalia,Torres,18,F,Derecho,5,natalia.torres@universidad.edu,555-0255,5.78,58,3,15,Medio,1,6.2,5.7,5.7,5.4,5.8,55,100,2023-07-17,En Riesgo,Baja participación
256,Regina,Ortega,20,F,Medicina,6,regina.ortega@universidad.edu,555-0256,8.63,77,2,8,Bajo,0,9.0,8.7,8.7,8.9,8.8,86,120,2023-01-18,Activo,
257,Gabriel,Castro,24,M,Medicina,3,gabriel.castro@universidad.edu,555-0257,8.6,100,4,4,Bajo,0,8.3,8.8,8.4,8.5,8.5,38,60,2024-07-16,Activo,
258,Cristóbal,Hernández,20,M,Psicología,6,cristóbal.hernández@universidad.edu,555-0258,7.91,100,4,16,Alto,0,7.8,7.9,8.3,8.3,8.1,90,120,2023-01-18,Activo,
259,Benjamín,Ortega,25,M,Arte,7,benjamín.ortega@universidad.edu,555-0259,9.21,62,1,3,Alto,1,9.1,9.1,9.2,9.1,9.1,103,140,2022-07-17,En Riesgo,Problemas familiares
260,Valentina,Delgado,20,F,Arquitectura,7,valentina.delgado@universidad.edu,555-0260,4.91,51,4,20,Bajo,1,4.6,5.3,5.3,4.8,5.0,97,140,2022-07-17,En Riesgo,Bajo rendimiento académico
261,Isabella,Castillo,22,F,Psicología,3,isabella.castillo@universidad.edu,555-0261,7.36,50,4,21,Medio,0,7.3,7.6,7.6,7.1,7.4,36,60,2024-07-16,Activo,
262,Ana,Vargas,22,F,Administración,6,ana.vargas@universidad.edu,555-0262,7.72,96,2,11,Bajo,0,8.0,7.6,7.5,7.5,7.7,78,120,2023-01-18,Activo,
263,Emilio,Torres,25,M,Derecho,4,emilio.torres@universidad.edu,555-0263,8.32,100,1,10,Alto,0,8.4,8.1,8.2,8.2,8.2,44,80,2024-01-18,Activo,
264,Cristóbal,Rojas,24,M,Medicina,2,cristóbal.rojas@universidad.edu,555-0264,8.1,72,4,3,Medio,0,8.4,8.0,7.6,7.9,8.0,28,40,2025-01-17,Activo,
265,Carmen,Rodríguez,21,F,Economía,6,carmen.rodríguez@universidad.edu,555-0265,7.55,92,4,20,Bajo,0,7.8,7.3,7.8,7.1,7.5,90,120,2023-01-18,Activo,
266,Mateo,Castro,19,M,Economía,7,mateo.castro@universidad.edu,555-0266,5.92,63,5,9,Medio,1,5.5,6.3,5.6,6.1,5.9,105,140,2022-07-17,En Riesgo,Problemas familiares
267,Laura,Aguilar,21,F,Medicina,8,laura.aguilar@universidad.edu,555-0267,7.13,78,3,1,Alto,0,7.2,6.8,6.7,6.8,6.9,120,160,2022-01-18,Condicional,
268,Sebastián,Torres,24,M,Arquitectura,3,sebastián.torres@universidad.edu,555-0268,9.85,61,3,14,Bajo,0,10.0,9.4,9.6,9.9,9.7,39,60,2024-07-16,Activo,
269,Sebastián,Delgado,19,M,Ingeniería,1,sebastián.delgado@universidad.edu,555-0269,9.48,64,3,13,Alto,0,9.5,9.2,9.2,9.0,9.2,15,20,2025-07-16,Activo,
270,Mariana,Rodríguez,26,F,Arquitectura,6,mariana.rodríguez@universidad.edu,555-0270,7.83,68,1,21,Medio,1,7.9,7.9,7.8,8.0,7.9,90,120,2023-01-18,En Riesgo,Pocas horas de estudio
271,Matías,González,19,M,Administración,8,matías.gonzález@universidad.edu,555-0271,5.35,97,3,8,Medio,0,5.8,4.9,5.0,5.8,5.4,120,160,2022-01-18,Activo,
272,Carlos,Vargas,21,M,Economía,5,carlos.vargas@universidad.edu,555-0272,5.39,56,5,17,Medio,1,5.6,5.4,5.1,5.4,5.4,52,100,2023-07-17,En Riesgo,Problemas económicos
273,Constanza,García,22,F,Economía,7,constanza.garcía@universidad.edu,555-0273,7.37,97,1,13,Medio,0,7.2,7.2,7.6,7.8,7.5,74,140,2022-07-17,Activo,
274,Maximiliano,Flores,18,M,Economía,1,maximiliano.flores@universidad.edu,555-0274,8.76,86,3,16,Alto,0,9.1,8.9,8.5,8.9,8.8,15,20,2025-07-16,Activo,
275,Isabella,López,21,F,Economía,5,isabella.lópez@universidad.edu,555-0275,6.58,93,1,12,Medio,0,6.9,6.8,6.7,6.7,6.8,75,100,2023-07-17,Condicional,
276,Daniela,Delgado,21,F,Arte,5,daniela.delgado@universidad.edu,555-0276,7.1,56,1,15,Bajo,1,7.1,7.1,7.1,6.7,7.0,70,100,2023-07-17,En Riesgo,Problemas económicos
